timestamp,Entry No_,Date and Time,Time,User ID,Table No_,Field No_,Type of Change,Old Value,New Value,Primary Key,Primary Key Field 1 No_,Primary Key Field 1 Value,Primary Key Field 2 No_,Primary Key Field 2 Value,Primary Key Field 3 No_,Primary Key Field 3 Value
,194182852,2015-05-27 07:36:06,1754-01-01 13:06:06,MMT\MOT111005837,50003,305,0,2933,4070,"Document Type=1, Document No_=NH710848249280, Line No_=20000",1,1,2,NH710848249280,4,20000
,194182851,2015-05-27 07:36:06,1754-01-01 13:06:06,MMT\MOT111005837,50003,164,0,0,2035,"Document Type=1, Document No_=NH710848249280, Line No_=20000",1,1,2,NH710848249280,4,20000
,194182850,2015-05-27 07:36:06,1754-01-01 13:06:06,MMT\MOT111005837,50003,163,0,1632,0,"Document Type=1, Document No_=NH710848249280, Line No_=20000",1,1,2,NH710848249280,4,20000
,194182849,2015-05-27 07:36:06,1754-01-01 13:06:06,MMT\MOT111005837,50003,158,0,0,1,"Document Type=1, Document No_=NH710848249280, Line No_=20000",1,1,2,NH710848249280,4,20000
,194182848,2015-05-27 07:36:06,1754-01-01 13:06:06,MMT\MOT111005837,50003,135,0,2081,2062,"Document Type=1, Document No_=NH710848249280, Line No_=20000",1,1,2,NH710848249280,4,20000
,194182847,2015-05-27 07:36:06,1754-01-01 13:06:06,MMT\MOT111005837,50003,131,0,3978,0.01,"Document Type=1, Document No_=NH710848249280, Line No_=20000",1,1,2,NH710848249280,4,20000
,194182846,2015-05-27 07:36:06,1754-01-01 13:06:06,MMT\MOT111005837,50003,118,0,1,0,"Document Type=1, Document No_=NH710848249280, Line No_=20000",1,1,2,NH710848249280,4,20000
,194182845,2015-05-27 07:36:06,1754-01-01 13:06:06,MMT\MOT111005837,50003,117,0,2932.13,4069.66,"Document Type=1, Document No_=NH710848249280, Line No_=20000",1,1,2,NH710848249280,4,20000
,194182844,2015-05-27 07:36:06,1754-01-01 13:06:06,MMT\MOT111005837,50003,88,0,1190,0,"Document Type=1, Document No_=NH710848249280, Line No_=20000",1,1,2,NH710848249280,4,20000
,194182843,2015-05-27 07:36:06,1754-01-01 13:06:06,MMT\MOT111005837,50003,82,0,-442,4070,"Document Type=1, Document No_=NH710848249280, Line No_=20000",1,1,2,NH710848249280,4,20000
,194182842,2015-05-27 07:36:06,1754-01-01 13:06:06,MMT\MOT111005837,50003,81,0,29.9,0,"Document Type=1, Document No_=NH710848249280, Line No_=20000",1,1,2,NH710848249280,4,20000
,194182841,2015-05-27 07:36:06,1754-01-01 13:06:06,MMT\MOT111005837,50003,80,0,3375,1,"Document Type=1, Document No_=NH710848249280, Line No_=20000",1,1,2,NH710848249280,4,20000
,194182840,2015-05-27 07:36:06,1754-01-01 13:06:06,MMT\MOT111005837,50003,78,0,2968,4120,"Document Type=1, Document No_=NH710848249280, Line No_=20000",1,1,2,NH710848249280,4,20000
,194182839,2015-05-27 07:36:06,1754-01-01 13:06:06,MMT\MOT111005837,50003,77,0,37,51,"Document Type=1, Document No_=NH710848249280, Line No_=20000",1,1,2,NH710848249280,4,20000
,194182838,2015-05-27 07:36:06,1754-01-01 13:06:06,MMT\MOT111005837,50003,76,0,3978,1,"Document Type=1, Document No_=NH710848249280, Line No_=20000",1,1,2,NH710848249280,4,20000
,194182837,2015-05-27 07:36:06,1754-01-01 13:06:06,MMT\MOT111005837,50003,75,0,2968.488412,4120.123784,"Document Type=1, Document No_=NH710848249280, Line No_=20000",1,1,2,NH710848249280,4,20000
,194182836,2015-05-27 07:36:06,1754-01-01 13:06:06,MMT\MOT111005837,50003,71,0,1190,0,"Document Type=1, Document No_=NH710848249280, Line No_=20000",1,1,2,NH710848249280,4,20000
,194182835,2015-05-27 07:36:06,1754-01-01 13:06:06,MMT\MOT111005837,50003,70,0,-442,4070,"Document Type=1, Document No_=NH710848249280, Line No_=20000",1,1,2,NH710848249280,4,20000
,194182834,2015-05-27 07:36:06,1754-01-01 13:06:06,MMT\MOT111005837,50003,69,0,0,2034.82,"Document Type=1, Document No_=NH710848249280, Line No_=20000",1,1,2,NH710848249280,4,20000
,194182833,2015-05-27 07:36:06,1754-01-01 13:06:06,MMT\MOT111005837,50003,68,0,1632,0,"Document Type=1, Document No_=NH710848249280, Line No_=20000",1,1,2,NH710848249280,4,20000
,194182832,2015-05-27 07:36:06,1754-01-01 13:06:06,MMT\MOT111005837,50003,65,0,587,0,"Document Type=1, Document No_=NH710848249280, Line No_=20000",1,1,2,NH710848249280,4,20000
,194182831,2015-05-27 07:36:06,1754-01-01 13:06:06,MMT\MOT111005837,50003,64,0,586.13,0,"Document Type=1, Document No_=NH710848249280, Line No_=20000",1,1,2,NH710848249280,4,20000
,194182830,2015-05-27 07:36:06,1754-01-01 13:06:06,MMT\MOT111005837,50003,62,0,36.358412,50.463784,"Document Type=1, Document No_=NH710848249280, Line No_=20000",1,1,2,NH710848249280,4,20000
,194182829,2015-05-27 07:36:06,1754-01-01 13:06:06,MMT\MOT111005837,50003,60,0,3978,0.02,"Document Type=1, Document No_=NH710848249280, Line No_=20000",1,1,2,NH710848249280,4,20000
,194182828,2015-05-27 07:36:06,1754-01-01 13:06:06,MMT\MOT111005837,50003,23,0,3374.13,0.02,"Document Type=1, Document No_=NH710848249280, Line No_=20000",1,1,2,NH710848249280,4,20000
,194182827,2015-05-27 07:36:00,1754-01-01 13:06:00,MMT\IERT68100,50002,224,1,,0.00,"Document Type=0, Document No_=IN1505Q1S239250, Line No_=",1,0,2,IN1505Q1S239250,4,
,194182826,2015-05-27 07:36:00,1754-01-01 13:06:00,MMT\IERT68100,50002,223,1,,0.00,"Document Type=0, Document No_=IN1505Q1S239250, Line No_=",1,0,2,IN1505Q1S239250,4,
,194182825,2015-05-27 07:36:00,1754-01-01 13:06:00,MMT\IERT68100,50002,219,1,,0.00,"Document Type=0, Document No_=IN1505Q1S239250, Line No_=",1,0,2,IN1505Q1S239250,4,
,194182824,2015-05-27 07:36:00,1754-01-01 13:06:00,MMT\IERT68100,50002,217,1,,0.00,"Document Type=0, Document No_=IN1505Q1S239250, Line No_=",1,0,2,IN1505Q1S239250,4,
,194182823,2015-05-27 07:36:00,1754-01-01 13:06:00,MMT\IERT68100,50002,216,1,,0.00,"Document Type=0, Document No_=IN1505Q1S239250, Line No_=",1,0,2,IN1505Q1S239250,4,
